URL,Title,Visit Time,Visit Count,Visited From,Web Browser,User Profile,Browser Profile,URL Length,Typed Count
file:///D:/Game_workspace/99/root.js,,2022-07-18 ¿ÀÈÄ 4:29:31,1,,Internet Explorer 10/11 / Edge,AD01713091,,36,
file:///D:/Game_workspace/01AppGuard/99ÀÚ·á/AppGuard_LogServer_API_ÀÎÅÍÆäÀÌ½º_1.1.0.pdf,,2022-07-18 ¿ÀÈÄ 2:13:48,2,,Internet Explorer 10/11 / Edge,AD01713091,,80,
file:///C:/Users/AD01713091/Pictures/shiro.png,,2022-07-18 ¿ÀÈÄ 1:21:03,2,,Internet Explorer 10/11 / Edge,AD01713091,,46,
file:///D:/Game_workspace/01AppGuard/99ÀÚ·á,,2022-07-18 ¿ÀÀü 11:20:40,1,,Internet Explorer 10/11 / Edge,AD01713091,,41,
é¥,,2022-07-18 ¿ÀÀü 8:40:04,1,,Internet Explorer 10/11 / Edge,AD01713091,,2,
é¥,,2022-07-18 ¿ÀÀü 8:40:04,1,,Internet Explorer 10/11 / Edge,AD01713091,,2,
https://googleads.g.doubleclick.net/pagead/html/r20220707/r20190131/zrt_lookup.html,,2022-07-18 ¿ÀÀü 8:40:04,1,,Internet Explorer 10/11 / Edge,AD01713091,,83,
é¥,,2022-07-11 ¿ÀÀü 10:54:02,1,,Internet Explorer 10/11 / Edge,AD01713091,,2,
é¥,,2022-07-11 ¿ÀÀü 10:54:02,1,,Internet Explorer 10/11 / Edge,AD01713091,,2,
https://googleads.g.doubleclick.net/pagead/html/r20220706/r20190131/zrt_lookup.html,,2022-07-11 ¿ÀÀü 10:54:02,1,,Internet Explorer 10/11 / Edge,AD01713091,,83,
é¥,,2022-07-06 ¿ÀÈÄ 5:45:06,1,,Internet Explorer 10/11 / Edge,AD01713091,,2,
é¥,,2022-07-06 ¿ÀÈÄ 5:45:06,1,,Internet Explorer 10/11 / Edge,AD01713091,,2,
https://googleads.g.doubleclick.net/pagead/html/r20220629/r20190131/zrt_lookup.html,,2022-07-06 ¿ÀÈÄ 5:45:06,1,,Internet Explorer 10/11 / Edge,AD01713091,,83,
https://www.bandisoft.com/bandizip/ad/main.php?l=korean&s=100&v=3&w=main&mse=0,,2022-07-01 ¿ÀÈÄ 3:28:43,14,,Internet Explorer 10/11 / Edge,AD01713091,,78,
https://t1.daumcdn.net/adfit/adunit_style/cbd957d8687232f7fd00a4825395dd65c8d9059d,,2022-06-29 ¿ÀÈÄ 2:07:53,2,,Internet Explorer 10/11 / Edge,AD01713091,,82,

é¥,,2022-06-27 ¿ÀÈÄ 3:22:51,1,,Internet Explorer 10/11 / Edge,AD01713091,,2,
	é¥,,2022-06-27 ¿ÀÈÄ 3:22:51,1,,Internet Explorer 10/11 / Edge,AD01713091,,2,
https://googleads.g.doubleclick.net/pagead/html/r20220622/r20190131/zrt_lookup.html,,2022-06-27 ¿ÀÈÄ 3:22:51,4,,Internet Explorer 10/11 / Edge,AD01713091,,83,
https://www.bandisoft.com/bandizip/adsense/main.php?l=korean&s=100&v=3&w=main&mse=0,,2022-06-27 ¿ÀÈÄ 3:22:50,4,,Internet Explorer 10/11 / Edge,AD01713091,,83,
é¥,,2022-06-27 ¿ÀÈÄ 2:15:11,1,,Internet Explorer 10/11 / Edge,AD01713091,,2,
é¥,,2022-06-27 ¿ÀÈÄ 2:15:10,1,,Internet Explorer 10/11 / Edge,AD01713091,,2,
é¥,,2022-06-24 ¿ÀÀü 11:29:52,1,,Internet Explorer 10/11 / Edge,AD01713091,,2,
é¥,,2022-06-24 ¿ÀÀü 11:29:52,1,,Internet Explorer 10/11 / Edge,AD01713091,,2,
é¥,,2022-06-24 ¿ÀÀü 10:40:00,1,,Internet Explorer 10/11 / Edge,AD01713091,,2,
é¥,,2022-06-24 ¿ÀÀü 10:40:00,1,,Internet Explorer 10/11 / Edge,AD01713091,,2,
https://t1.daumcdn.net/adfit/adunit_style/482d3118219ce953edf5487921d8163b76340540,,2022-06-16 ¿ÀÈÄ 5:14:46,1,,Internet Explorer 10/11 / Edge,AD01713091,,82,
